quote,author,tags,likes
"All the world is made of faith, and trust, and pixie dust.","J.M. Barrie,","faith, life, pixie-dust, trust",9013
Faithless is he that says farewell when the road darkens.,"J.R.R. Tolkien,",faith,8622
"I believe in everything until it's disproved. So I believe in fairies, the myths, dragons. It all exists, even if it's in your mind. Who's to say that dreams and nightmares aren't as real as the here and now?",John Lennon,"beatles, dragons, dreamers, dreaming, dreams, fairies, faith, mythology, nightmares, reality, truth",8588
"I think if I've learned anything about friendship, it's to hang in, stay connected, fight for them, and let them fight for you. Don't walk away, don't be distracted, don't be too busy or tired, don't take them for granted. Friends are part of the glue that holds life and faith together. Powerful stuff.",Jon Katz,"faith, friends, friendship, love",6960
I have great faith in fools - self-confidence my friends will call it.,"Edgar Allan Poe,","faith, fool, humor, self-confidence, self-irony",6440
"If he’s not calling you, it’s because you are not on his mind. If he creates expectations for you, and then doesn’t follow through on little things, he will do same for big things. Be aware of this and realize that he’s okay with disappointing you. Don’t be with someone who doesn’t do what they say they’re going to do. If he’s choosing not to make a simple effort that would put you at ease and bring harmony to a recurring fight, then he doesn’t respect your feelings and needs. “Busy” is another word for “asshole.” “Asshole” is another word for the guy you’re dating. You deserve a fcking phone call.",Greg Behrendt,"busy, call, dating, dating-advice, faith, greg-behrendt, guys, he-s-not-just-into-you, love, marriage, romance, true",5997
"And now these three remain: faith, hope and love. But the greatest of these is love.","Anonymous,","faith, god, hope, love",5891
"Keep Going

Your hardest times often lead to the greatest moments of your life. Keep going. Tough situations build strong people in the end.","Roy T. Bennett,","adversity, authentic-living, being-positive, faith, inspiration, inspirational, inspirational-quotes, life, life-and-living, life-quotes, motivation, never-give-up, optimism, optimistic, persistence, positive, positive-affirmation, positive-life, positive-thinking",5182
"God will not look you over for medals, degrees or diplomas but for scars.",Elbert Hubbard,"faith, god, wisdom",5179
"The function of prayer is not to influence God, but rather to change the nature of the one who prays.",Soren Kierkegaard,"faith, god, prayer",4481
"And still, after all this time,
The sun never says to the earth,
""You owe Me.""

Look what happens with
A love like that,
It lights the Whole Sky.",Hafiz,"faith, inspiration",4227
Never be afraid to trust an unknown future to a known God.,Corrie ten Boom,"faith, future, god, trust",4093
